Артикул,BarCode Corvex,Next Inc,,Назва ТМЦ,Клас,Коротка назва бази пристрою,ТМ,Якісний залишок,Бракований залишок,Загальний залишок,Є помилка,isUnique. Артикул,isClassID OK,isUnique. ШК,КласID з атрибута,КласID з артикула,Ітератор артикула,PreEAN,Призначення,Категорія,Стовпець 21,ШК 1С,Колір,Новий артикул,Новий клас,Уніфікована назва
,,,,,,,,,,,,,,,,,,,,,,,,,,
U.008.000-008,2900080000083,21,,Акумулятор посилений (батарея) для iPhone 11 без контролера,АКБ без калібрування,Apple IPhone 11,,0,0,0,,,,,8,8,8,290008000008,Запчастини пристрою,Запчастини для смартфонів,Складові живлення смартфону,,,,АКБ без калібрування,АКБ без калібрування Apple IPhone 11
U.009.000-075,2900090000752,93,,Акумулятор посилений (батарея) Apple iPhone 11 з контролером,АКБ з калібруванням,Apple IPhone 11,,0,0,0,,,,,9,9,75,290009000075,Запчастини пристрою,Запчастини для смартфонів,Складові живлення смартфону,,,,АКБ з калібруванням,АКБ з калібруванням Apple IPhone 11
U.008.000-013,2900080000137,21,,Акумулятор посилений (батарея) Apple iPhone 12 / 12 Pro без контролера,АКБ без калібрування,"Apple IPhone 12, Apple IPhone 12 Pro",,0,0,0,,,,,8,8,13,290008000013,Запчастини пристрою,Запчастини для смартфонів,Складові живлення смартфону,,,,АКБ без калібрування,АКБ без калібрування Apple IPhone 12
U.008.000-009,2900080000090,21,,Акумулятор посилений (батарея) Apple iPhone 13 без контролера,АКБ без калібрування,Apple IPhone 13,,0,0,0,,,,,8,8,9,290008000009,Запчастини пристрою,Запчастини для смартфонів,Складові живлення смартфону,,,,АКБ без калібрування,АКБ без калібрування Apple IPhone 13
U.009.000-065,2900090000653,93,,Акумулятор посилений (батарея) Apple iPhone 13 з контролером,АКБ з калібруванням,Apple IPhone 13,,0,5,5,,,,,9,9,65,290009000065,Запчастини пристрою,Запчастини для смартфонів,Складові живлення смартфону,,,,АКБ,АКБ Apple IPhone 13
U.008.000-012,2900080000120,21,,Акумулятор посилений (батарея) Apple iPhone 13 Pro без контролера,АКБ без калібрування,Apple IPhone 13 Pro,,0,0,0,,,,,8,8,12,290008000012,Запчастини пристрою,Запчастини для смартфонів,Складові живлення смартфону,,,,АКБ без калібрування,АКБ без калібрування Apple IPhone 13 Pro
U.009.000-066,2900090000660,93,,Акумулятор посилений (батарея) Apple iPhone 13 Pro з контролером,АКБ з калібруванням,Apple IPhone 13 Pro,,0,14,14,,,,,9,9,66,290009000066,Запчастини пристрою,Запчастини для смартфонів,Складові живлення смартфону,,,,АКБ,АКБ Apple IPhone 13 Pro
U.009.000-067,2900090000677,93,,Акумулятор посилений (батарея) Apple iPhone 13 Pro Max з контролером,АКБ з калібруванням,Apple IPhone 13 Pro Max,,0,20,20,,,,,9,9,67,290009000067,Запчастини пристрою,Запчастини для смартфонів,Складові живлення смартфону,,,,АКБ,АКБ Apple IPhone 13 Pro Max
U.023.000-001,2900230000017,82,,Дисплейний модуль Apple iPhone 13,Дисплейний модуль,Apple IPhone 13,,0,16,16,,,,,23,23,1,290023000001,Запчастини пристрою,Запчастини для смартфонів,Складові дисплейного модулю смартфонів,,,,Дисплейний модуль,Дисплейний модуль Apple IPhone 13
U.061.000-001,2021026479913,78,,Скло дисплея Apple iPhone 13,Скло дисплейного модулю,Apple IPhone 13,,0,6,6,,,,,61,61,1,290061000001,Запчастини пристрою,Запчастини для смартфонів,Складові дисплейного модулю смартфонів,2021026479913,,,Скло дисплейного модулю,Скло дисплейного модулю Apple IPhone 13
U.081.000-001,2900810000017,93,,Кришка корпусу задня Apple iPhone 13 Midnight без лінзи камери без магніту,Кришка корпусу задня без обвісу,Apple IPhone 13,,20,20,40,,,,,81,81,1,290081000001,Запчастини пристрою,Запчастини для смартфонів,Складові корпусу смартфонів,,Midnight,,Кришка корпусу задня без обвісу,Кришка корпусу задня без обвісу Apple IPhone 13 Midnight
U.086.000-001,2021026463059,5,,Шлейф батареї Tag-on JCID для iPhone 13,Шлейф програмування АКБ,Apple IPhone 13,,0,0,0,,,,,86,86,1,290086000001,Запчастини пристрою,Запчастини для смартфонів,Шлейфи для смартфонів,2021026463059,,,Шлейф програмування АКБ,Шлейф програмування АКБ Apple IPhone 13
