,,REFparts,,,,,,,,,,,,,,
,,38 063 601 01 04,,,,,,,,,,,,,,
,,"Telegram, Viber",,,,,,,,,,,,,,
,,refpartsua@gmail.com,,,,,,,,,,,,,,
,,Графік роботи: ПН-ПТ 10:00-18:00,,,,,,,,,,,,,,
,,01. iPhone 17 Pro Max,,,,,,,,,,Наявність,Великий опт,Середній опт,Дрібний опт,"Курс: 45,10"
,332b8f58-6f41-11f0,Рамка дисплея G+OCA pro iPhone 17 Pro Max,,,,,,,,,,,3.7,3.75,3.8,
,95489d30-aae6-11ef,Скло+ОСА Feaglet iPhone 17 Pro Max,,,,,,,,,,Очікується,4.5,4.55,4.6,
,fe96bd9f-57ef-11f0,Скло+ОСА G+OCA pro iPhone 17 Pro Max,,,,,,,,,,,2.6,2.65,2.7,
,,02. iPhone 17 Pro,,,,,,,,,,Наявність,Великий опт,Середній опт,Дрібний опт,
,1d9bda7e-6f41-11f0,Скло+ОСА Feaglet iPhone 17 Pro,,,,,,,,,,,4.5,4.55,4.6,
,8a16d389-aae6-11ef,Скло+ОСА G+OCA pro iPhone 17 Pro,,,,,,,,,,,2.6,2.65,2.7,
